No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
3.0,0.10848277,10.0.2.15,157.240.214.60,TLSv1.2,448.0,Application Data
5.0,0.343321209,157.240.214.60,10.0.2.15,TLSv1.2,1366.0,Application Data
7.0,2.117413603,157.240.214.60,10.0.2.15,TLSv1.2,310.0,Application Data
9.0,2.612490549,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
11.0,2.729528488,10.0.2.15,157.240.214.60,TLSv1.2,162.0,Application Data
13.0,2.930745255,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
15.0,4.618121906,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
17.0,5.667001587,10.0.2.15,157.240.214.60,TLSv1.2,269.0,Application Data
19.0,5.915429643,157.240.214.60,10.0.2.15,TLSv1.2,165.0,Application Data
21.0,6.144108989,157.240.214.60,10.0.2.15,TLSv1.2,152.0,Application Data
23.0,6.173634829,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
25.0,6.251107176,157.240.214.60,10.0.2.15,TLSv1.2,150.0,Application Data
26.0,6.254098763,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
28.0,6.311388944,157.240.214.60,10.0.2.15,TLSv1.2,151.0,Application Data
29.0,6.314578544,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
33.0,6.757245822,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
35.0,7.161700012,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
37.0,7.167532183,10.0.2.15,157.240.214.60,TLSv1.2,147.0,Application Data
41.0,16.916042325,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
43.0,17.350327016,157.240.214.60,10.0.2.15,TLSv1.2,390.0,Application Data
45.0,17.555629328,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
47.0,17.566185643,10.0.2.15,157.240.214.60,TLSv1.2,162.0,Application Data
49.0,17.756646837,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
53.0,18.998497505,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
59.0,21.095610382,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
61.0,22.006255674,10.0.2.15,157.240.214.60,TCP,7354.0,"40198  >  443 [PSH, ACK] Seq=1538 Ack=2900 Win=65535 Len=7300 [TCP segment of a reassembled PDU]"
62.0,22.00635084,10.0.2.15,157.240.214.60,TCP,7354.0,"40198  >  443 [PSH, ACK] Seq=8838 Ack=2900 Win=65535 Len=7300 [TCP segment of a reassembled PDU]"
65.0,22.00707059,10.0.2.15,157.240.214.60,TLSv1.2,5894.0,Application Data [TCP segment of a reassembled PDU]
67.0,22.007169587,10.0.2.15,157.240.214.60,TLSv1.2,1321.0,Application Data
80.0,22.060089366,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
82.0,22.087199826,10.0.2.15,157.240.214.60,TLSv1.2,269.0,Application Data
85.0,22.331033558,157.240.214.60,10.0.2.15,TLSv1.2,165.0,Application Data
87.0,22.528741145,157.240.214.60,10.0.2.15,TLSv1.2,8338.0,"Application Data, Application Data, Application Data"
89.0,22.530334901,157.240.214.60,10.0.2.15,TLSv1.2,4050.0,Application Data
91.0,22.531717955,157.240.214.60,10.0.2.15,TLSv1.2,4230.0,Application Data
93.0,22.5317185,157.240.214.60,10.0.2.15,TCP,1446.0,"443  >  40198 [PSH, ACK] Seq=19467 Ack=23530 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
95.0,22.531718552,157.240.214.60,10.0.2.15,TLSv1.2,2680.0,"Application Data, Application Data"
97.0,22.531718604,157.240.214.60,10.0.2.15,TCP,1446.0,"443  >  40198 [PSH, ACK] Seq=23485 Ack=23530 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
98.0,22.531718658,157.240.214.60,10.0.2.15,TCP,1514.0,443  >  40198 [ACK] Seq=24877 Ack=23530 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
101.0,22.536805452,157.240.214.60,10.0.2.15,TLSv1.2,5464.0,"Application Data, Application Data"
105.0,22.537209811,157.240.214.60,10.0.2.15,TLSv1.2,7794.0,"Application Data, Application Data"
107.0,22.537553822,157.240.214.60,10.0.2.15,TLSv1.2,4230.0,"Application Data, Application Data"
109.0,22.537997771,157.240.214.60,10.0.2.15,TLSv1.2,477.0,Application Data
111.0,22.609195794,157.240.214.60,10.0.2.15,TLSv1.2,150.0,Application Data
113.0,22.858578812,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
115.0,22.997716928,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
117.0,22.999219062,10.0.2.15,157.240.214.60,TLSv1.2,147.0,Application Data
119.0,23.177962767,10.0.2.15,157.240.214.60,TCP,7354.0,"40198  >  443 [PSH, ACK] Seq=23718 Ack=57417 Win=65535 Len=7300 [TCP segment of a reassembled PDU]"
