No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,10.0.2.15,157.240.196.60,TLSv1.2,122.0,Application Data
3.0,0.637106042,10.0.2.15,157.240.196.60,TLSv1.2,122.0,Application Data
5.0,0.890218521,157.240.196.60,10.0.2.15,TLSv1.2,185.0,"Application Data, Application Data"
7.0,1.203557657,10.0.2.15,157.240.196.60,TLSv1.2,123.0,Application Data
9.0,1.723488847,10.0.2.15,157.240.196.60,TLSv1.2,124.0,Application Data
11.0,2.868427464,157.240.196.60,10.0.2.15,TCP,1078.0,"443  >  42468 [PSH, ACK] Seq=132 Ack=276 Win=65535 Len=1024 [TCP segment of a reassembled PDU]"
13.0,2.868427787,157.240.196.60,10.0.2.15,TLSv1.2,292.0,Application Data
15.0,2.875127313,10.0.2.15,157.240.196.60,TLSv1.2,270.0,Application Data
17.0,2.991698088,157.240.196.60,10.0.2.15,TLSv1.2,125.0,Application Data
19.0,3.263688293,157.240.196.60,10.0.2.15,TLSv1.2,165.0,Application Data
21.0,3.328916959,10.0.2.15,157.240.196.60,TLSv1.2,144.0,Application Data
23.0,3.395825101,10.0.2.15,157.240.196.60,TLSv1.2,156.0,Application Data
25.0,3.457618247,157.240.196.60,10.0.2.15,TLSv1.2,148.0,Application Data
27.0,3.526351712,10.0.2.15,157.240.196.60,TLSv1.2,147.0,Application Data
29.0,3.552267148,157.240.196.60,10.0.2.15,TLSv1.2,148.0,Application Data
31.0,3.558510162,157.240.196.60,10.0.2.15,TLSv1.2,174.0,Application Data
33.0,3.595149779,157.240.196.60,10.0.2.15,TLSv1.2,151.0,Application Data
35.0,3.617803909,157.240.196.60,10.0.2.15,TLSv1.2,143.0,Application Data
37.0,3.617804242,157.240.196.60,10.0.2.15,TLSv1.2,149.0,Application Data
39.0,3.883361995,10.0.2.15,157.240.196.60,TLSv1.2,147.0,Application Data
41.0,3.884619749,10.0.2.15,157.240.196.60,TLSv1.2,149.0,Application Data
43.0,3.885571082,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
45.0,3.887232665,10.0.2.15,157.240.196.60,TLSv1.2,147.0,Application Data
47.0,4.008405739,157.240.196.60,10.0.2.15,TLSv1.2,152.0,Application Data
49.0,4.011404972,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
51.0,5.018560544,157.240.196.60,10.0.2.15,TLSv1.2,174.0,Application Data
52.0,5.049712079,10.0.2.15,157.240.196.60,TLSv1.2,149.0,Application Data
54.0,6.248788679,157.240.196.60,10.0.2.15,TLSv1.2,131.0,Application Data
55.0,6.272060992,10.0.2.15,157.240.196.60,TLSv1.2,124.0,Application Data
57.0,8.294302844,157.240.196.60,10.0.2.15,TLSv1.2,311.0,Application Data
59.0,8.476520209,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
61.0,8.601677026,10.0.2.15,157.240.196.60,TLSv1.2,162.0,Application Data
63.0,8.826543963,157.240.196.60,10.0.2.15,TLSv1.2,149.0,Application Data
65.0,16.08712692,10.0.2.15,157.240.196.60,TLSv1.2,318.0,Application Data
67.0,16.895807863,157.240.196.60,10.0.2.15,TLSv1.2,165.0,Application Data
69.0,17.158350041,157.240.196.60,10.0.2.15,TLSv1.2,150.0,Application Data
71.0,17.16178605,10.0.2.15,157.240.196.60,TLSv1.2,149.0,Application Data
73.0,17.16417211,157.240.196.60,10.0.2.15,TLSv1.2,152.0,Application Data
74.0,17.170415308,157.240.196.60,10.0.2.15,TLSv1.2,151.0,Application Data
76.0,17.172117745,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
78.0,17.185514575,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
80.0,17.382297944,157.240.196.60,10.0.2.15,TLSv1.2,149.0,Application Data
81.0,17.384951631,10.0.2.15,157.240.196.60,TLSv1.2,147.0,Application Data
83.0,17.551837098,157.240.196.60,10.0.2.15,TLSv1.2,148.0,Application Data
84.0,17.560561234,10.0.2.15,157.240.196.60,TLSv1.2,147.0,Application Data
86.0,17.566415618,157.240.196.60,10.0.2.15,TLSv1.2,174.0,Application Data
87.0,17.609053604,10.0.2.15,157.240.196.60,TLSv1.2,149.0,Application Data
89.0,27.647275597,157.240.196.60,10.0.2.15,TLSv1.2,327.0,Application Data
91.0,27.723994598,10.0.2.15,157.240.196.60,TLSv1.2,126.0,Application Data
100.0,33.905439372,157.240.196.60,10.0.2.15,TLSv1.2,823.0,Application Data
102.0,34.014120892,10.0.2.15,157.240.196.60,TLSv1.2,145.0,Application Data
106.0,35.189166758,157.240.196.60,10.0.2.15,TLSv1.2,331.0,Application Data
108.0,35.216235743,10.0.2.15,157.240.196.60,TLSv1.2,126.0,Application Data
