No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,10.0.2.15,157.240.195.56,TLSv1.2,124.0,Application Data
3.0,0.173467895,157.240.195.56,10.0.2.15,TLSv1.2,126.0,Application Data
5.0,2.043114295,157.240.195.56,10.0.2.15,TLSv1.2,1316.0,Application Data
7.0,2.49707262,10.0.2.15,157.240.195.56,TLSv1.2,144.0,Application Data
9.0,3.258419717,157.240.195.56,10.0.2.15,TLSv1.2,280.0,Application Data
11.0,3.489294203,10.0.2.15,157.240.195.56,TLSv1.2,127.0,Application Data
13.0,3.565331037,157.240.195.56,10.0.2.15,TLSv1.2,306.0,Application Data
15.0,3.756412015,10.0.2.15,157.240.195.56,TLSv1.2,145.0,Application Data
17.0,5.282422593,157.240.195.56,10.0.2.15,TLSv1.2,291.0,"Application Data, Application Data"
19.0,5.318144094,10.0.2.15,157.240.195.56,TLSv1.2,148.0,Application Data
21.0,5.322567014,10.0.2.15,157.240.195.56,TLSv1.2,149.0,Application Data
56.0,8.469726172,157.240.195.56,10.0.2.15,TLSv1.2,313.0,Application Data
58.0,8.575007004,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
60.0,8.835487951,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
62.0,8.841871102,157.240.195.56,10.0.2.15,TLSv1.2,184.0,Application Data
64.0,8.845719534,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
66.0,8.872196996,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
67.0,8.885484802,10.0.2.15,157.240.195.56,TLSv1.2,154.0,Application Data
69.0,8.94702254,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
71.0,9.099328181,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
72.0,9.113905778,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
74.0,9.177032628,157.240.195.56,10.0.2.15,TLSv1.2,156.0,Application Data
75.0,9.209074166,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
77.0,9.304863095,10.0.2.15,157.240.195.56,TLSv1.2,154.0,Application Data
