No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
10.0,1.925048699,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
14.0,2.990030497,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
16.0,4.436224156,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
18.0,5.385900186,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
20.0,5.553340436,10.0.2.15,157.240.214.60,TLSv1.2,270.0,Application Data
22.0,5.570427071,157.240.214.60,10.0.2.15,TLSv1.2,126.0,Application Data
24.0,5.798262044,157.240.214.60,10.0.2.15,TLSv1.2,165.0,Application Data
26.0,6.143984123,157.240.214.60,10.0.2.15,TLSv1.2,150.0,Application Data
28.0,6.14726894,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
32.0,6.630082097,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
39.0,6.751363427,10.0.2.15,157.240.214.60,TLSv1.2,147.0,Application Data
70.0,6.949870716,157.240.214.60,10.0.2.15,TLSv1.2,151.0,Application Data
72.0,6.953274292,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
86.0,7.012813041,157.240.214.60,10.0.2.15,TLSv1.2,327.0,Application Data
93.0,7.394130224,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
95.0,7.516190933,10.0.2.15,157.240.214.60,TLSv1.2,162.0,Application Data
97.0,7.703841475,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
99.0,8.13766856,157.240.214.60,10.0.2.15,TLSv1.2,176.0,Application Data
101.0,8.141376183,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
103.0,8.959772294,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
105.0,10.137763061,157.240.214.60,10.0.2.15,TLSv1.2,311.0,Application Data
107.0,10.309816072,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
109.0,10.573666782,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
110.0,10.574052384,10.0.2.15,157.240.214.60,TLSv1.2,234.0,"Application Data, Application Data"
111.0,10.574131377,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
115.0,10.574658567,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
116.0,10.574804497,10.0.2.15,157.240.214.60,TLSv1.2,234.0,"Application Data, Application Data"
117.0,10.574928073,10.0.2.15,157.240.214.60,TLSv1.2,414.0,"Application Data, Application Data, Application Data, Application Data"
119.0,10.575274306,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
123.0,10.611958434,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
125.0,10.696313016,10.0.2.15,157.240.214.60,TCP,7354.0,"40198  >  443 [PSH, ACK] Seq=2117 Ack=1604 Win=65535 Len=7300 [TCP segment of a reassembled PDU]"
126.0,10.696440606,10.0.2.15,157.240.214.60,TCP,7354.0,"40198  >  443 [PSH, ACK] Seq=9417 Ack=1604 Win=65535 Len=7300 [TCP segment of a reassembled PDU]"
129.0,10.69721602,10.0.2.15,157.240.214.60,TLSv1.2,5894.0,Application Data [TCP segment of a reassembled PDU]
133.0,10.69740307,10.0.2.15,157.240.214.60,TLSv1.2,4668.0,Application Data
147.0,10.712552676,10.0.2.15,157.240.214.60,TLSv1.2,159.0,Application Data
148.0,10.712706598,10.0.2.15,157.240.214.60,TLSv1.2,270.0,"Application Data, Application Data"
150.0,10.713254536,10.0.2.15,157.240.214.60,TLSv1.2,269.0,"Application Data, Application Data"
153.0,10.77055844,157.240.214.60,10.0.2.15,TLSv1.2,1870.0,"Application Data, Application Data, Application Data, Application Data"
155.0,10.770558995,157.240.214.60,10.0.2.15,TLSv1.2,539.0,Application Data
157.0,10.770559036,157.240.214.60,10.0.2.15,TLSv1.2,1447.0,"Application Data, Application Data"
159.0,10.770559063,157.240.214.60,10.0.2.15,TLSv1.2,586.0,Application Data
161.0,10.770559083,157.240.214.60,10.0.2.15,TLSv1.2,127.0,Application Data
163.0,10.777779806,157.240.214.60,10.0.2.15,TLSv1.2,497.0,Application Data
165.0,10.934974851,157.240.214.60,10.0.2.15,TLSv1.2,146.0,Application Data
167.0,10.934975272,157.240.214.60,10.0.2.15,TLSv1.2,146.0,Application Data
169.0,10.934975301,157.240.214.60,10.0.2.15,TLSv1.2,152.0,Application Data
171.0,10.93497533,157.240.214.60,10.0.2.15,TLSv1.2,152.0,Application Data
173.0,10.934975358,157.240.214.60,10.0.2.15,TLSv1.2,147.0,Application Data
175.0,11.04042837,157.240.214.60,10.0.2.15,TLSv1.2,4162.0,"Application Data, Application Data"
177.0,11.041260319,157.240.214.60,10.0.2.15,TLSv1.2,4140.0,Application Data
179.0,11.042525272,157.240.214.60,10.0.2.15,TLSv1.2,4140.0,Application Data
181.0,11.043868768,157.240.214.60,10.0.2.15,TLSv1.2,4140.0,Application Data
183.0,11.045020283,157.240.214.60,10.0.2.15,TLSv1.2,1567.0,Application Data
185.0,11.046598287,157.240.214.60,10.0.2.15,TLSv1.2,2374.0,"Application Data, Application Data"
187.0,11.186872709,10.0.2.15,157.240.214.60,TLSv1.2,388.0,Application Data
195.0,11.279959916,10.0.2.15,157.240.253.60,QUIC,120.0,"0-RTT, DCID=3aae37ca43624769"
196.0,11.280490571,10.0.2.15,157.240.253.60,QUIC,594.0,"0-RTT, DCID=3aae37ca43624769"
197.0,11.281025447,10.0.2.15,157.240.253.60,QUIC,242.0,"0-RTT, DCID=3aae37ca43624769"
198.0,11.281434929,10.0.2.15,157.240.253.60,QUIC,244.0,"0-RTT, DCID=3aae37ca43624769"
199.0,11.281841219,10.0.2.15,157.240.253.60,QUIC,242.0,"0-RTT, DCID=3aae37ca43624769"
201.0,11.286842027,10.0.2.15,157.240.253.60,QUIC,241.0,"0-RTT, DCID=3aae37ca43624769"
202.0,11.291861912,157.240.214.60,10.0.2.15,TLSv1.2,311.0,Application Data
205.0,11.348947281,157.240.253.60,10.0.2.15,QUIC,250.0,"Handshake, SCID=851d009120e3cf5c"
206.0,11.349786767,157.240.253.60,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
207.0,11.349786901,157.240.253.60,10.0.2.15,QUIC,122.0,Protected Payload (KP0)
208.0,11.349786932,157.240.253.60,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
209.0,11.350023247,10.0.2.15,157.240.253.60,QUIC,123.0,"Handshake, DCID=851d009120e3cf5c"
210.0,11.35017131,10.0.2.15,157.240.253.60,QUIC,76.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
211.0,11.350330815,157.240.253.60,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
212.0,11.350990722,157.240.253.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
213.0,11.351176554,10.0.2.15,157.240.253.60,QUIC,81.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
214.0,11.351330707,157.240.253.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
215.0,11.351330792,157.240.253.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
216.0,11.3516225,157.240.253.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
217.0,11.351622585,157.240.253.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
218.0,11.351943869,157.240.253.60,10.0.2.15,QUIC,1210.0,Protected Payload (KP0)
219.0,11.353156061,10.0.2.15,157.240.253.60,QUIC,78.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
220.0,11.353482813,10.0.2.15,157.240.253.60,QUIC,82.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
221.0,11.353572537,10.0.2.15,157.240.253.60,QUIC,78.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
222.0,11.353606065,157.240.253.60,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
223.0,11.353657116,10.0.2.15,157.240.253.60,QUIC,77.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
224.0,11.353939458,10.0.2.15,157.240.253.60,QUIC,76.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
225.0,11.354042725,157.240.253.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
226.0,11.354042815,157.240.253.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
227.0,11.35412858,10.0.2.15,157.240.253.60,QUIC,78.0,"Protected Payload (KP0), DCID=851d009120e3cf5c"
