No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,10.0.2.15,157.240.195.56,TLSv1.2,93.0,Application Data
3.0,0.046584102,157.240.195.56,10.0.2.15,TLSv1.2,93.0,Application Data
5.0,1.93556949,157.240.195.56,10.0.2.15,TLSv1.2,306.0,Application Data
7.0,2.253708153,157.240.195.56,10.0.2.15,TLSv1.2,161.0,Application Data
9.0,2.592513471,10.0.2.15,157.240.195.56,TLSv1.2,145.0,Application Data
10.0,2.592591687,10.0.2.15,157.240.195.56,TLSv1.2,149.0,Application Data
13.0,2.915976173,157.240.195.56,10.0.2.15,TLSv1.2,196.0,Application Data
15.0,3.125376002,157.240.195.56,10.0.2.15,TLSv1.2,329.0,Application Data
17.0,3.219970356,10.0.2.15,157.240.195.56,TLSv1.2,149.0,Application Data
19.0,3.567258375,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
21.0,3.628297296,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
23.0,3.71905216,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
25.0,3.840443997,157.240.195.56,10.0.2.15,TLSv1.2,156.0,Application Data
27.0,4.070235202,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
29.0,4.121733899,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
31.0,4.275226388,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
33.0,4.400318958,10.0.2.15,157.240.195.56,TLSv1.2,154.0,Application Data
35.0,4.46004067,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
37.0,6.250273674,157.240.195.56,10.0.2.15,TLSv1.2,313.0,Application Data
39.0,6.482191525,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
41.0,6.551935714,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
43.0,6.59672377,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
45.0,6.600466509,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
47.0,6.864351822,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
49.0,6.937764244,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
50.0,6.946113236,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
52.0,7.408020798,157.240.195.56,10.0.2.15,TLSv1.2,313.0,Application Data
54.0,7.628769545,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
56.0,7.698595941,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
58.0,7.708859039,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
60.0,7.738304011,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
62.0,7.935234432,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
64.0,7.980457519,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
66.0,8.005633311,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
68.0,9.461329051,157.240.195.56,10.0.2.15,TLSv1.2,313.0,Application Data
70.0,9.685683233,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
72.0,9.754269094,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
74.0,9.763696751,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
76.0,9.819130709,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
78.0,10.012595817,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
80.0,10.17157305,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
82.0,10.177073863,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
88.0,11.096913125,157.240.195.56,10.0.2.15,TLSv1.2,141.0,Application Data
89.0,11.13480853,10.0.2.15,157.240.195.56,TLSv1.2,125.0,Application Data
91.0,14.442201909,10.0.2.15,157.240.195.56,TLSv1.2,124.0,Application Data
93.0,14.584391392,157.240.195.56,10.0.2.15,TLSv1.2,126.0,Application Data
95.0,17.904770599,157.240.195.56,10.0.2.15,TLSv1.2,345.0,Application Data
97.0,18.13445637,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
99.0,18.236728398,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
101.0,18.280781817,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
103.0,18.332549805,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
105.0,18.525840826,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
107.0,18.703956345,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
109.0,18.709005203,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
111.0,25.709105476,157.240.195.56,10.0.2.15,TLSv1.2,329.0,Application Data
113.0,25.984882936,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
115.0,26.05619307,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
117.0,26.067563481,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
119.0,26.550996852,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
121.0,26.556002546,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
123.0,26.670962181,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
124.0,26.68291582,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
126.0,38.389308974,10.0.2.15,157.240.195.56,TLSv1.2,124.0,Application Data
128.0,38.526156164,157.240.195.56,10.0.2.15,TLSv1.2,126.0,Application Data
130.0,51.283235638,157.240.195.56,10.0.2.15,TCP,1514.0,443  >  57478 [ACK] Seq=4247 Ack=2951 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
132.0,51.285785121,157.240.195.56,10.0.2.15,TLSv1.2,176.0,"Application Data, Application Data"
134.0,51.755355928,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
140.0,52.189626891,157.240.195.56,10.0.2.15,TLSv1.2,153.0,Application Data
142.0,52.279177744,157.240.195.56,10.0.2.15,TLSv1.2,154.0,Application Data
144.0,52.289943634,10.0.2.15,157.240.195.56,TLSv1.2,129.0,Application Data
146.0,52.29067279,10.0.2.15,157.240.195.56,TLSv1.2,153.0,Application Data
148.0,52.431897133,157.240.195.56,10.0.2.15,TLSv1.2,1314.0,Application Data
150.0,52.532947505,10.0.2.15,157.240.195.56,TLSv1.2,152.0,Application Data
152.0,53.193653903,10.0.2.15,147.235.111.99,UDP,1399.0,59500  >  443 Len=1357
153.0,53.200974716,147.235.111.99,10.0.2.15,UDP,1274.0,443  >  59500 Len=1232
154.0,53.200975029,147.235.111.99,10.0.2.15,UDP,259.0,443  >  59500 Len=217
155.0,53.201104853,147.235.111.99,10.0.2.15,UDP,90.0,443  >  59500 Len=48
156.0,53.201104981,147.235.111.99,10.0.2.15,UDP,122.0,443  >  59500 Len=80
157.0,53.201912489,147.235.111.99,10.0.2.15,UDP,90.0,443  >  59500 Len=48
158.0,53.205378167,10.0.2.15,147.235.111.99,UDP,161.0,59500  >  443 Len=119
159.0,53.211563983,147.235.111.99,10.0.2.15,UDP,84.0,443  >  59500 Len=42
160.0,53.211564297,147.235.111.99,10.0.2.15,UDP,378.0,443  >  59500 Len=336
161.0,53.239780991,10.0.2.15,147.235.111.99,UDP,77.0,59500  >  443 Len=35
162.0,53.24095933,147.235.111.99,10.0.2.15,UDP,367.0,443  >  59500 Len=325
