No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,10.0.2.15,157.240.214.60,TLSv1.2,413.0,Application Data
3.0,0.076831206,157.240.214.60,10.0.2.15,TCP,1446.0,"443  >  35260 [PSH, ACK] Seq=1 Ack=360 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
7.0,3.435387703,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
9.0,4.648561623,10.0.2.15,157.240.214.60,TLSv1.2,269.0,Application Data
11.0,4.80872973,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
13.0,4.860666383,157.240.214.60,10.0.2.15,TLSv1.2,165.0,Application Data
15.0,5.274761969,157.240.214.60,10.0.2.15,TLSv1.2,150.0,Application Data
17.0,5.291751665,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
19.0,5.459908392,157.240.214.60,10.0.2.15,TLSv1.2,151.0,Application Data
20.0,5.465250186,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
22.0,7.687388266,10.0.2.15,157.240.214.60,TLSv1.2,285.0,Application Data
24.0,7.922643516,157.240.214.60,10.0.2.15,TLSv1.2,165.0,Application Data
26.0,8.230196331,157.240.214.60,10.0.2.15,TLSv1.2,151.0,Application Data
28.0,8.234610243,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
30.0,8.25437138,157.240.214.60,10.0.2.15,TLSv1.2,150.0,Application Data
31.0,8.26447283,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
33.0,8.844534793,10.0.2.15,157.240.214.60,TLSv1.2,78.0,Application Data
34.0,8.844782105,10.0.2.15,157.240.214.60,TLSv1.2,78.0,Application Data
35.0,8.845144271,10.0.2.15,157.240.214.60,TLSv1.2,78.0,Application Data
38.0,8.845376874,10.0.2.15,157.240.214.60,TLSv1.2,78.0,Application Data
39.0,8.845521008,10.0.2.15,157.240.214.60,TLSv1.2,78.0,Application Data
42.0,8.845661369,10.0.2.15,157.240.214.60,TLSv1.2,78.0,Application Data
46.0,8.913592301,157.240.214.60,10.0.2.15,TLSv1.2,78.0,Application Data
50.0,8.914065877,157.240.214.60,10.0.2.15,TLSv1.2,78.0,Application Data
56.0,8.917066687,157.240.214.60,10.0.2.15,TLSv1.2,78.0,Application Data
58.0,8.917066887,157.240.214.60,10.0.2.15,TLSv1.2,78.0,Application Data
