No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,157.240.214.60,10.0.2.15,TLSv1.2,174.0,Application Data
2.0,0.014821517,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
4.0,1.226711474,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
6.0,2.27796262,157.240.214.60,10.0.2.15,TLSv1.2,310.0,Application Data
8.0,2.46057046,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
11.0,2.583039929,10.0.2.15,157.240.214.60,TLSv1.2,162.0,Application Data
14.0,2.77320133,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
16.0,3.091174862,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
18.0,4.266849438,157.240.214.60,10.0.2.15,TLSv1.2,310.0,Application Data
20.0,4.40480743,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
22.0,4.44097541,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
24.0,4.486028161,10.0.2.15,157.240.214.60,TLSv1.2,162.0,Application Data
26.0,4.674454058,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
28.0,7.207588965,157.240.214.60,10.0.2.15,TLSv1.2,326.0,Application Data
30.0,7.315621056,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
32.0,7.404822306,10.0.2.15,157.240.214.60,TLSv1.2,162.0,Application Data
34.0,7.593615186,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
36.0,7.752513058,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
38.0,12.631117145,157.240.214.60,10.0.2.15,TLSv1.2,342.0,Application Data
40.0,12.806668022,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
42.0,12.811087845,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
44.0,14.516512346,157.240.214.60,10.0.2.15,TLSv1.2,310.0,Application Data
46.0,14.776790679,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
48.0,14.784143758,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
50.0,16.238261202,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
