No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,157.240.214.60,10.0.2.15,TLSv1.2,134.0,Application Data
3.0,1.04741626,10.0.2.15,157.240.214.60,TLSv1.2,122.0,Application Data
5.0,2.096666992,10.0.2.15,157.240.214.60,TLSv1.2,122.0,Application Data
7.0,2.120103604,10.0.2.15,157.240.214.60,TLSv1.2,160.0,Application Data
9.0,2.282132251,157.240.214.60,10.0.2.15,TLSv1.2,112.0,Application Data
11.0,5.574523781,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
13.0,5.576230637,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
15.0,5.577259341,10.0.2.15,157.240.214.60,TLSv1.2,147.0,Application Data
17.0,5.578211967,10.0.2.15,157.240.214.60,TLSv1.2,147.0,Application Data
19.0,5.57919842,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
21.0,5.581060554,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
23.0,5.581988637,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
25.0,5.582760858,10.0.2.15,157.240.214.60,TLSv1.2,144.0,Application Data
27.0,5.836509397,157.240.214.60,10.0.2.15,TLSv1.2,2850.0,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
29.0,5.855427611,157.240.214.60,10.0.2.15,TLSv1.2,499.0,Application Data
31.0,5.856708019,157.240.214.60,10.0.2.15,TLSv1.2,537.0,Application Data
33.0,5.954093643,10.0.2.15,157.240.0.60,UDP,238.0,40775  >  443 Len=196
34.0,5.955014878,10.0.2.15,157.240.0.60,UDP,234.0,40775  >  443 Len=192
35.0,5.962062524,10.0.2.15,157.240.0.60,UDP,234.0,40775  >  443 Len=192
36.0,5.963027151,10.0.2.15,157.240.0.60,UDP,238.0,40775  >  443 Len=196
37.0,6.045389239,157.240.0.60,10.0.2.15,UDP,90.0,443  >  40775 Len=48
38.0,6.045389596,157.240.0.60,10.0.2.15,UDP,1274.0,443  >  40775 Len=1232
39.0,6.045389625,157.240.0.60,10.0.2.15,UDP,794.0,443  >  40775 Len=752
40.0,6.045389663,157.240.0.60,10.0.2.15,UDP,1274.0,443  >  40775 Len=1232
41.0,6.045389705,157.240.0.60,10.0.2.15,UDP,1274.0,443  >  40775 Len=1232
42.0,6.045389747,157.240.0.60,10.0.2.15,UDP,90.0,443  >  40775 Len=48
43.0,6.045389781,157.240.0.60,10.0.2.15,UDP,90.0,443  >  40775 Len=48
44.0,6.045389813,157.240.0.60,10.0.2.15,UDP,90.0,443  >  40775 Len=48
45.0,6.046628746,157.240.0.60,10.0.2.15,UDP,218.0,443  >  40775 Len=176
46.0,6.046629004,157.240.0.60,10.0.2.15,UDP,1274.0,443  >  40775 Len=1232
