No.,Time,Source,Destination,Protocol,Length,Info
1.0,0.0,157.240.196.60,10.0.2.15,TLSv1.2,310.0,Application Data
3.0,0.38349281,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
5.0,0.524647475,157.240.196.60,10.0.2.15,TLSv1.2,166.0,Application Data
7.0,0.632557455,10.0.2.15,157.240.196.60,TLSv1.2,154.0,Application Data
9.0,0.965864095,157.240.196.60,10.0.2.15,TLSv1.2,131.0,Application Data
11.0,3.164232831,157.240.196.60,10.0.2.15,TLSv1.2,311.0,Application Data
13.0,3.341730417,10.0.2.15,157.240.196.60,TLSv1.2,153.0,Application Data
15.0,4.828283264,10.0.2.15,157.240.196.60,TLSv1.2,123.0,Application Data
17.0,5.157353604,157.240.196.60,10.0.2.15,TLSv1.2,125.0,Application Data
21.0,6.661295089,157.240.196.60,10.0.2.15,TLSv1.2,443.0,"Application Data, Application Data"
23.0,6.68103645,10.0.2.15,157.240.196.60,TLSv1.2,154.0,Application Data
25.0,6.808203542,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
27.0,6.961962296,10.0.2.15,157.240.196.60,TLSv1.2,122.0,Application Data
29.0,7.040456675,157.240.196.60,10.0.2.15,TLSv1.2,166.0,Application Data
30.0,7.043962237,10.0.2.15,157.240.196.60,TLSv1.2,154.0,Application Data
34.0,12.584547713,157.240.196.60,10.0.2.15,TLSv1.2,93.0,Application Data
38.0,13.430822922,157.240.196.60,10.0.2.15,TLSv1.2,326.0,Application Data
40.0,13.483018247,157.240.196.60,10.0.2.15,TLSv1.2,327.0,Application Data
42.0,13.689676977,10.0.2.15,157.240.196.60,TLSv1.2,150.0,Application Data
44.0,13.732262369,157.240.196.60,10.0.2.15,TLSv1.2,166.0,Application Data
46.0,13.753091828,10.0.2.15,157.240.196.60,TLSv1.2,154.0,Application Data
48.0,14.33956621,10.0.2.15,157.240.196.60,TLSv1.2,153.0,Application Data
57.0,16.782236181,157.240.196.60,10.0.2.15,TLSv1.2,155.0,Application Data
58.0,16.795544429,10.0.2.15,157.240.196.60,TLSv1.2,154.0,Application Data
62.0,22.42610296,157.240.196.60,10.0.2.15,TCP,1294.0,"443  >  40810 [PSH, ACK] Seq=2033 Ack=1124 Win=65535 Len=1240 [TCP segment of a reassembled PDU]"
63.0,22.426678952,157.240.196.60,10.0.2.15,TLSv1.2,212.0,Application Data
65.0,22.637465004,10.0.2.15,192.114.147.162,UDP,298.0,59333  >  443 Len=256
66.0,22.683394176,10.0.2.15,157.240.196.60,TLSv1.2,153.0,Application Data
68.0,22.693020789,192.114.147.162,10.0.2.15,UDP,90.0,443  >  59333 Len=48
69.0,22.725172797,10.0.2.15,192.114.147.162,UDP,77.0,59333  >  443 Len=35
70.0,22.782488483,157.240.196.60,10.0.2.15,TLSv1.2,326.0,Application Data
71.0,22.782488752,192.114.147.162,10.0.2.15,UDP,346.0,443  >  59333 Len=304
72.0,22.782488842,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
73.0,22.782963032,10.0.2.15,192.114.147.162,UDP,80.0,59333  >  443 Len=38
74.0,22.790412533,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
75.0,22.790847635,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
76.0,22.793079858,192.114.147.162,10.0.2.15,UDP,666.0,443  >  59333 Len=624
77.0,22.802418232,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
78.0,22.802913963,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
79.0,22.808042292,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
80.0,22.819868851,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
81.0,22.820551087,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
82.0,22.825384575,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
83.0,22.826290841,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
84.0,22.826291123,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
85.0,22.826291169,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
87.0,22.826773403,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
88.0,22.826773511,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
89.0,22.827354551,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
90.0,22.827768583,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
91.0,22.828155814,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
92.0,22.82854623,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
93.0,22.832694897,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
94.0,22.832995693,10.0.2.15,192.114.147.162,UDP,80.0,59333  >  443 Len=38
95.0,22.834401055,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
96.0,22.834401275,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
97.0,22.834401308,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
98.0,22.834992818,10.0.2.15,192.114.147.162,UDP,81.0,59333  >  443 Len=39
99.0,22.8354519,10.0.2.15,192.114.147.162,UDP,81.0,59333  >  443 Len=39
100.0,22.835878198,10.0.2.15,192.114.147.162,UDP,79.0,59333  >  443 Len=37
101.0,22.838804655,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
102.0,22.838805023,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
103.0,22.839223159,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
104.0,22.839223295,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
105.0,22.839703631,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
106.0,22.840114718,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
107.0,22.840562879,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
108.0,22.843359992,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
109.0,22.843360336,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
110.0,22.843793569,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
111.0,22.844141086,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
112.0,22.844622205,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
113.0,22.844622314,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
114.0,22.845209287,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
115.0,22.845209424,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
116.0,22.845958109,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
117.0,22.846920624,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
118.0,22.847388854,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
119.0,22.850533247,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
120.0,22.850533655,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
121.0,22.851901721,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
122.0,22.851902091,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
123.0,22.853016186,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
124.0,22.853545428,10.0.2.15,192.114.147.162,UDP,78.0,59333  >  443 Len=36
125.0,22.855866155,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
126.0,22.855866454,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
127.0,22.856417017,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
128.0,22.85806857,10.0.2.15,192.114.147.162,UDP,83.0,59333  >  443 Len=41
129.0,22.858914737,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
130.0,22.859177271,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
131.0,22.86176389,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
132.0,22.861764196,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
133.0,22.862488461,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
134.0,22.862488568,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
135.0,22.863120636,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
136.0,22.863630207,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
137.0,22.867807167,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
138.0,22.868291701,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
139.0,22.868291895,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
140.0,22.868626614,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
141.0,22.869448854,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
142.0,22.869970177,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
143.0,22.874982924,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
144.0,22.874983546,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
145.0,22.881291886,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
146.0,22.888413973,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
147.0,22.888414395,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
148.0,22.888824371,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
149.0,22.888824517,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
150.0,22.889182204,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
151.0,22.89446848,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
152.0,22.894468823,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
153.0,22.900155328,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
154.0,22.900155631,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
155.0,22.900155668,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
156.0,22.900726452,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
157.0,22.90072671,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
158.0,22.901250567,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
159.0,22.901250951,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
160.0,22.901250981,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
161.0,22.901849359,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
162.0,22.902544086,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
163.0,22.903884278,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
164.0,22.906772413,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
165.0,22.906772718,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
166.0,22.906772751,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
167.0,22.90744121,10.0.2.15,192.114.147.162,UDP,76.0,59333  >  443 Len=34
168.0,22.911647601,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
169.0,22.930427949,10.0.2.15,192.114.147.162,UDP,77.0,59333  >  443 Len=35
170.0,22.96534301,10.0.2.15,192.114.147.162,UDP,73.0,59333  >  443 Len=31
171.0,22.975154853,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
172.0,22.980685664,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
173.0,22.981002667,192.114.147.162,10.0.2.15,UDP,1274.0,443  >  59333 Len=1232
