No.,Time,Source,Destination,Protocol,Length,Info
3.0,0.757025904,10.0.2.15,157.240.214.60,TLSv1.2,122.0,Application Data
5.0,1.022455084,157.240.214.60,10.0.2.15,TLSv1.2,112.0,Application Data
7.0,3.541869244,10.0.2.15,157.240.214.60,TLSv1.2,237.0,Application Data
12.0,3.772105239,157.240.214.60,10.0.2.15,TLSv1.2,149.0,Application Data
23.0,6.127310057,157.240.214.60,10.0.2.15,TLSv1.2,196.0,Application Data
25.0,6.192515268,10.0.2.15,157.240.214.60,TLSv1.2,154.0,Application Data
27.0,13.295675574,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
29.0,15.029622164,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
31.0,16.013996021,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
33.0,18.018776769,10.0.2.15,157.240.214.60,TLSv1.2,1759.0,Application Data
36.0,18.431789889,157.240.214.60,10.0.2.15,TLSv1.2,165.0,Application Data
38.0,18.721622557,157.240.214.60,10.0.2.15,TLSv1.2,152.0,Application Data
40.0,18.726112678,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
42.0,18.736663128,157.240.214.60,10.0.2.15,TLSv1.2,151.0,Application Data
43.0,18.740273048,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
45.0,18.799453092,157.240.214.60,10.0.2.15,TLSv1.2,148.0,Application Data
46.0,18.802260111,10.0.2.15,157.240.214.60,TLSv1.2,147.0,Application Data
48.0,22.510367556,157.240.214.60,10.0.2.15,TLSv1.2,127.0,Application Data
50.0,23.391687543,10.0.2.15,157.240.214.60,TLSv1.2,124.0,Application Data
52.0,25.070726786,157.240.214.60,10.0.2.15,TLSv1.2,150.0,Application Data
54.0,25.082281285,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
56.0,26.298805947,157.240.214.60,10.0.2.15,TLSv1.2,131.0,Application Data
57.0,26.316539858,10.0.2.15,157.240.214.60,TLSv1.2,285.0,Application Data
59.0,26.708532776,157.240.214.60,10.0.2.15,TLSv1.2,165.0,Application Data
61.0,26.912533145,157.240.214.60,10.0.2.15,TLSv1.2,150.0,Application Data
63.0,26.918207001,10.0.2.15,157.240.214.60,TLSv1.2,149.0,Application Data
65.0,26.939919051,157.240.214.60,10.0.2.15,TLSv1.2,151.0,Application Data
66.0,26.957033855,10.0.2.15,157.240.214.60,TLSv1.2,150.0,Application Data
68.0,27.937889541,157.240.214.60,10.0.2.15,TLSv1.2,112.0,Application Data
70.0,30.804068693,157.240.214.60,10.0.2.15,TLSv1.2,326.0,Application Data
