"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.214.60","10.0.2.15","TLSv1.2","131","Application Data"
"2","0.000021214","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=1 Ack=78 Win=65535 Len=0"
"3","0.108482770","10.0.2.15","157.240.214.60","TLSv1.2","448","Application Data"
"4","0.109049925","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=78 Ack=395 Win=65535 Len=0"
"5","0.343321209","157.240.214.60","10.0.2.15","TLSv1.2","1366","Application Data"
"6","0.343394251","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=395 Ack=1390 Win=65535 Len=0"
"7","2.117413603","157.240.214.60","10.0.2.15","TLSv1.2","310","Application Data"
"8","2.117451485","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=395 Ack=1646 Win=65535 Len=0"
"9","2.612490549","10.0.2.15","157.240.214.60","TLSv1.2","150","Application Data"
"10","2.612967510","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=1646 Ack=491 Win=65535 Len=0"
"11","2.729528488","10.0.2.15","157.240.214.60","TLSv1.2","162","Application Data"
"12","2.730214189","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=1646 Ack=599 Win=65535 Len=0"
"13","2.930745255","157.240.214.60","10.0.2.15","TLSv1.2","149","Application Data"
"14","2.930785500","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=599 Ack=1741 Win=65535 Len=0"
"15","4.618121906","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"16","4.618580588","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=1741 Ack=669 Win=65535 Len=0"
"17","5.667001587","10.0.2.15","157.240.214.60","TLSv1.2","269","Application Data"
"18","5.667503163","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=1741 Ack=884 Win=65535 Len=0"
"19","5.915429643","157.240.214.60","10.0.2.15","TLSv1.2","165","Application Data"
