"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","157.240.196.60","TLSv1.2","122","Application Data"
"2","0.001123583","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=1 Ack=69 Win=65535 Len=0"
"3","0.637106042","10.0.2.15","157.240.196.60","TLSv1.2","122","Application Data"
"4","0.637796537","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=1 Ack=137 Win=65535 Len=0"
"5","0.890218521","157.240.196.60","10.0.2.15","TLSv1.2","185","Application Data, Application Data"
"6","0.931177720","10.0.2.15","157.240.196.60","TCP","54","42468  >  443 [ACK] Seq=137 Ack=132 Win=65535 Len=0"
"7","1.203557657","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"8","1.204220293","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=132 Ack=206 Win=65535 Len=0"
"9","1.723488847","10.0.2.15","157.240.196.60","TLSv1.2","124","Application Data"
"10","1.724114983","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=132 Ack=276 Win=65535 Len=0"
"11","2.868427464","157.240.196.60","10.0.2.15","TCP","1078","443  >  42468 [PSH, ACK] Seq=132 Ack=276 Win=65535 Len=1024 [TCP segment of a reassembled PDU]"
"12","2.868462156","10.0.2.15","157.240.196.60","TCP","54","42468  >  443 [ACK] Seq=276 Ack=1156 Win=65535 Len=0"
"13","2.868427787","157.240.196.60","10.0.2.15","TLSv1.2","292","Application Data"
"14","2.868541117","10.0.2.15","157.240.196.60","TCP","54","42468  >  443 [ACK] Seq=276 Ack=1394 Win=65535 Len=0"
"15","2.875127313","10.0.2.15","157.240.196.60","TLSv1.2","270","Application Data"
"16","2.875834461","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=1394 Ack=492 Win=65535 Len=0"
"17","2.991698088","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"18","3.036140182","10.0.2.15","157.240.196.60","TCP","54","42468  >  443 [ACK] Seq=492 Ack=1465 Win=65535 Len=0"
"19","3.263688293","157.240.196.60","10.0.2.15","TLSv1.2","165","Application Data"
"20","3.263734978","10.0.2.15","157.240.196.60","TCP","54","42468  >  443 [ACK] Seq=492 Ack=1576 Win=65535 Len=0"
"21","3.328916959","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"22","3.329325831","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=1576 Ack=582 Win=65535 Len=0"
"23","3.395825101","10.0.2.15","157.240.196.60","TLSv1.2","156","Application Data"
"24","3.396602451","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=1576 Ack=684 Win=65535 Len=0"
"25","3.457618247","157.240.196.60","10.0.2.15","TLSv1.2","148","Application Data"
"26","3.457708831","10.0.2.15","157.240.196.60","TCP","54","42468  >  443 [ACK] Seq=684 Ack=1670 Win=65535 Len=0"
"27","3.526351712","10.0.2.15","157.240.196.60","TLSv1.2","147","Application Data"
"28","3.526963382","157.240.196.60","10.0.2.15","TCP","60","443  >  42468 [ACK] Seq=1670 Ack=777 Win=65535 Len=0"
"29","3.552267148","157.240.196.60","10.0.2.15","TLSv1.2","148","Application Data"
"30","3.552362389","10.0.2.15","157.240.196.60","TCP","54","42468  >  443 [ACK] Seq=777 Ack=1764 Win=65535 Len=0"
"31","3.558510162","157.240.196.60","10.0.2.15","TLSv1.2","174","Application Data"
