"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","157.240.195.56","TLSv1.2","124","Application Data"
"2","0.001001095","157.240.195.56","10.0.2.15","TCP","60","443  >  59666 [ACK] Seq=1 Ack=71 Win=65535 Len=0"
"3","0.173467895","157.240.195.56","10.0.2.15","TLSv1.2","126","Application Data"
"4","0.222000431","10.0.2.15","157.240.195.56","TCP","54","59666  >  443 [ACK] Seq=71 Ack=73 Win=65535 Len=0"
"5","2.043114295","157.240.195.56","10.0.2.15","TLSv1.2","1316","Application Data"
"6","2.043253167","10.0.2.15","157.240.195.56","TCP","54","59666  >  443 [ACK] Seq=71 Ack=1335 Win=65535 Len=0"
"7","2.497072620","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"8","2.497377859","157.240.195.56","10.0.2.15","TCP","60","443  >  59666 [ACK] Seq=1335 Ack=161 Win=65535 Len=0"
"9","3.258419717","157.240.195.56","10.0.2.15","TLSv1.2","280","Application Data"
"10","3.258495618","10.0.2.15","157.240.195.56","TCP","54","59666  >  443 [ACK] Seq=161 Ack=1561 Win=65535 Len=0"
"11","3.489294203","10.0.2.15","157.240.195.56","TLSv1.2","127","Application Data"
"12","3.489627618","157.240.195.56","10.0.2.15","TCP","60","443  >  59666 [ACK] Seq=1561 Ack=234 Win=65535 Len=0"
"13","3.565331037","157.240.195.56","10.0.2.15","TLSv1.2","306","Application Data"
"14","3.565383453","10.0.2.15","157.240.195.56","TCP","54","59666  >  443 [ACK] Seq=234 Ack=1813 Win=65535 Len=0"
"15","3.756412015","10.0.2.15","157.240.195.56","TLSv1.2","145","Application Data"
"16","3.756705184","157.240.195.56","10.0.2.15","TCP","60","443  >  59666 [ACK] Seq=1813 Ack=325 Win=65535 Len=0"
"17","5.282422593","157.240.195.56","10.0.2.15","TLSv1.2","291","Application Data, Application Data"
"18","5.282510512","10.0.2.15","157.240.195.56","TCP","54","59666  >  443 [ACK] Seq=325 Ack=2050 Win=65535 Len=0"
"19","5.318144094","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"20","5.319081703","157.240.195.56","10.0.2.15","TCP","60","443  >  59666 [ACK] Seq=2050 Ack=419 Win=65535 Len=0"
"21","5.322567014","10.0.2.15","157.240.195.56","TLSv1.2","149","Application Data"
"22","5.323391506","157.240.195.56","10.0.2.15","TCP","60","443  >  59666 [ACK] Seq=2050 Ack=514 Win=65535 Len=0"
"23","8.259974855","10.0.2.15","192.168.0.1","DNS","98","Standard query 0x44e0 A safebrowsing.googleapis.com OPT"
"24","8.261022778","10.0.2.15","192.168.0.1","DNS","98","Standard query 0x1c8b AAAA safebrowsing.googleapis.com OPT"
"25","8.269514668","192.168.0.1","10.0.2.15","DNS","114","Standard query response 0x44e0 A safebrowsing.googleapis.com A 172.217.22.106 OPT"
