"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.214.60","10.0.2.15","TLSv1.2","131","Application Data"
"2","0.053742426","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=1 Ack=78 Win=65535 Len=0"
"3","0.366729406","10.0.2.15","34.104.35.123","TCP","54","35596  >  80 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"4","0.367372604","34.104.35.123","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  35596 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"5","1.595099762","172.217.22.46","10.0.2.15","TLSv1.2","127","Application Data"
"6","1.595578422","10.0.2.15","172.217.22.46","TCP","54","43838  >  443 [FIN, ACK] Seq=1 Ack=74 Win=62780 Len=0"
"7","1.596283245","172.217.22.46","10.0.2.15","TCP","60","443  >  43838 [ACK] Seq=74 Ack=2 Win=65535 Len=0"
"8","1.609400287","172.217.22.46","10.0.2.15","TCP","60","443  >  43838 [FIN, ACK] Seq=74 Ack=2 Win=65535 Len=0"
"9","1.609427546","10.0.2.15","172.217.22.46","TCP","54","43838  >  443 [ACK] Seq=2 Ack=75 Win=62780 Len=0"
"10","1.925048699","157.240.214.60","10.0.2.15","TLSv1.2","131","Application Data"
"11","1.925065728","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=1 Ack=155 Win=65535 Len=0"
"12","2.412510165","10.0.2.15","172.253.126.94","TCP","54","51546  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"13","2.413017113","172.253.126.94","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  51546 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"14","2.990030497","157.240.214.60","10.0.2.15","TLSv1.2","131","Application Data"
"15","2.990069435","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=1 Ack=232 Win=65535 Len=0"
"16","4.436224156","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"17","4.436687247","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=232 Ack=71 Win=65535 Len=0"
"18","5.385900186","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"19","5.386659469","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=232 Ack=141 Win=65535 Len=0"
"20","5.553340436","10.0.2.15","157.240.214.60","TLSv1.2","270","Application Data"
"21","5.554028013","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=232 Ack=357 Win=65535 Len=0"
"22","5.570427071","157.240.214.60","10.0.2.15","TLSv1.2","126","Application Data"
"23","5.570449367","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=357 Ack=304 Win=65535 Len=0"
"24","5.798262044","157.240.214.60","10.0.2.15","TLSv1.2","165","Application Data"
"25","5.798295560","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=357 Ack=415 Win=65535 Len=0"
"26","6.143984123","157.240.214.60","10.0.2.15","TLSv1.2","150","Application Data"
"27","6.143999800","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=357 Ack=511 Win=65535 Len=0"
"28","6.147268940","10.0.2.15","157.240.214.60","TLSv1.2","149","Application Data"
"29","6.147876950","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=511 Ack=452 Win=65535 Len=0"
"30","6.507481473","10.0.2.15","142.250.27.188","TCP","54","50082  >  5228 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"31","6.511246451","142.250.27.188","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 5228  >  50082 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"32","6.630082097","157.240.214.60","10.0.2.15","TLSv1.2","149","Application Data"
"33","6.660802432","10.0.2.15","213.57.22.5","DNS","93","Standard query 0xbad8 A femetrics.grammarly.io OPT"
"34","6.661105928","10.0.2.15","213.57.22.5","DNS","93","Standard query 0xdd7b HTTPS femetrics.grammarly.io OPT"
"35","6.672268411","213.57.22.5","10.0.2.15","DNS","221","Standard query response 0xbad8 A femetrics.grammarly.io A 3.88.126.20 A 23.20.115.37 A 34.201.97.134 A 54.235.186.138 A 18.211.70.132 A 35.173.87.213 A 34.197.133.78 A 35.172.30.232 OPT"
"36","6.673194315","213.57.22.5","10.0.2.15","DNS","180","Standard query response 0xdd7b HTTPS femetrics.grammarly.io SOA ns-1688.awsdns-19.co.uk OPT"
"37","6.673910164","10.0.2.15","157.240.214.60","TCP","54","40198  >  443 [ACK] Seq=452 Ack=606 Win=65535 Len=0"
"38","6.674546674","10.0.2.15","3.88.126.20","TCP","74","36452  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2531774300 TSecr=0 WS=128"
"39","6.751363427","10.0.2.15","157.240.214.60","TLSv1.2","147","Application Data"
"40","6.752063199","157.240.214.60","10.0.2.15","TCP","60","443  >  40198 [ACK] Seq=606 Ack=545 Win=65535 Len=0"
"41","6.796055252","10.0.2.15","213.57.22.5","DNS","101","Standard query 0x4755 A config.extension.grammarly.com OPT"
"42","6.796206626","10.0.2.15","213.57.22.5","DNS","101","Standard query 0xe114 HTTPS config.extension.grammarly.com OPT"
"43","6.820041839","213.57.22.5","10.0.2.15","DNS","221","Standard query response 0xe114 HTTPS config.extension.grammarly.com CNAME d27xxe7juh1us6.cloudfront.net SOA ns-79.awsdns-09.com OPT"
"44","6.820499653","10.0.2.15","213.57.22.5","DNS","100","Standard query 0xfe15 HTTPS d27xxe7juh1us6.cloudfront.net OPT"
"45","6.833031336","213.57.22.5","10.0.2.15","DNS","180","Standard query response 0xfe15 HTTPS d27xxe7juh1us6.cloudfront.net SOA ns-79.awsdns-09.com OPT"
"46","6.835593813","3.88.126.20","10.0.2.15","TCP","60","443  >  36452 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"47","6.835631493","10.0.2.15","3.88.126.20","TCP","54","36452  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"48","6.836340890","10.0.2.15","3.88.126.20","TLSv1.2","571","Client Hello"
"49","6.837243649","3.88.126.20","10.0.2.15","TCP","60","443  >  36452 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"50","6.871030231","213.57.22.5","10.0.2.15","DNS","208","Standard query response 0x4755 A config.extension.grammarly.com CNAME d27xxe7juh1us6.cloudfront.net A 13.226.2.52 A 13.226.2.61 A 13.226.2.120 A 13.226.2.114 OPT"
"51","6.872573073","10.0.2.15","13.226.2.52","TCP","74","50522  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=417836659 TSecr=0 WS=128"
"52","6.885154856","13.226.2.52","10.0.2.15","TCP","60","443  >  50522 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"53","6.885191411","10.0.2.15","13.226.2.52","TCP","54","50522  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"54","6.885789193","10.0.2.15","13.226.2.52","TLSv1.3","571","Client Hello"
