"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","157.240.195.56","TLSv1.2","93","Application Data"
"2","0.000368822","157.240.195.56","10.0.2.15","TCP","60","443  >  57396 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"3","0.046584102","157.240.195.56","10.0.2.15","TLSv1.2","93","Application Data"
"4","0.046604218","10.0.2.15","157.240.195.56","TCP","54","57396  >  443 [ACK] Seq=40 Ack=40 Win=64028 Len=0"
"5","1.935569490","157.240.195.56","10.0.2.15","TLSv1.2","306","Application Data"
"6","1.935603237","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1 Ack=253 Win=65535 Len=0"
"7","2.253708153","157.240.195.56","10.0.2.15","TLSv1.2","161","Application Data"
"8","2.253728156","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1 Ack=360 Win=65535 Len=0"
"9","2.592513471","10.0.2.15","157.240.195.56","TLSv1.2","145","Application Data"
"10","2.592591687","10.0.2.15","157.240.195.56","TLSv1.2","149","Application Data"
"11","2.592887853","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=360 Ack=92 Win=65535 Len=0"
"12","2.592888042","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=360 Ack=187 Win=65535 Len=0"
"13","2.915976173","157.240.195.56","10.0.2.15","TLSv1.2","196","Application Data"
"14","2.916006096","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=187 Ack=502 Win=65535 Len=0"
"15","3.125376002","157.240.195.56","10.0.2.15","TLSv1.2","329","Application Data"
"16","3.125398054","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=187 Ack=777 Win=65535 Len=0"
"17","3.219970356","10.0.2.15","157.240.195.56","TLSv1.2","149","Application Data"
"18","3.220330042","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=777 Ack=282 Win=65535 Len=0"
"19","3.567258375","157.240.195.56","10.0.2.15","TLSv1.2","153","Application Data"
"20","3.567288780","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=282 Ack=876 Win=65535 Len=0"
"21","3.628297296","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"22","3.628668115","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=876 Ack=380 Win=65535 Len=0"
"23","3.719052160","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"24","3.719072280","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=380 Ack=976 Win=65535 Len=0"
"25","3.840443997","157.240.195.56","10.0.2.15","TLSv1.2","156","Application Data"
"26","3.840471809","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=380 Ack=1078 Win=65535 Len=0"
"27","4.070235202","10.0.2.15","157.240.195.56","TLSv1.2","153","Application Data"
"28","4.070598112","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1078 Ack=479 Win=65535 Len=0"
"29","4.121733899","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"30","4.122087917","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1078 Ack=577 Win=65535 Len=0"
"31","4.275226388","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"32","4.275246068","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=577 Ack=1178 Win=65535 Len=0"
"33","4.400318958","10.0.2.15","157.240.195.56","TLSv1.2","154","Application Data"
"34","4.400684549","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1178 Ack=677 Win=65535 Len=0"
"35","4.460040670","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"36","4.460414513","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1178 Ack=775 Win=65535 Len=0"
"37","6.250273674","157.240.195.56","10.0.2.15","TLSv1.2","313","Application Data"
"38","6.250307026","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=775 Ack=1437 Win=65535 Len=0"
"39","6.482191525","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"40","6.482211819","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=775 Ack=1537 Win=65535 Len=0"
"41","6.551935714","10.0.2.15","157.240.195.56","TLSv1.2","153","Application Data"
"42","6.552297165","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1537 Ack=874 Win=65535 Len=0"
"43","6.596723770","157.240.195.56","10.0.2.15","TLSv1.2","153","Application Data"
"44","6.596752489","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=874 Ack=1636 Win=65535 Len=0"
"45","6.600466509","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"46","6.600859153","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1636 Ack=972 Win=65535 Len=0"
"47","6.864351822","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"48","6.864715683","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1636 Ack=1070 Win=65535 Len=0"
"49","6.937764244","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"50","6.946113236","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"51","6.946463734","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=1736 Ack=1168 Win=65535 Len=0"
"52","7.408020798","157.240.195.56","10.0.2.15","TLSv1.2","313","Application Data"
"53","7.448533110","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1168 Ack=1995 Win=65535 Len=0"
"54","7.628769545","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"55","7.628789534","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1168 Ack=2095 Win=65535 Len=0"
"56","7.698595941","10.0.2.15","157.240.195.56","TLSv1.2","153","Application Data"
"57","7.699009286","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2095 Ack=1267 Win=65535 Len=0"
"58","7.708859039","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"59","7.709209900","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2095 Ack=1365 Win=65535 Len=0"
"60","7.738304011","157.240.195.56","10.0.2.15","TLSv1.2","153","Application Data"
"61","7.738324592","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1365 Ack=2194 Win=65535 Len=0"
"62","7.935234432","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"63","7.935262637","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1365 Ack=2294 Win=65535 Len=0"
"64","7.980457519","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"65","7.980789507","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2294 Ack=1463 Win=65535 Len=0"
"66","8.005633311","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"67","8.005984592","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2294 Ack=1561 Win=65535 Len=0"
"68","9.461329051","157.240.195.56","10.0.2.15","TLSv1.2","313","Application Data"
"69","9.461360148","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1561 Ack=2553 Win=65535 Len=0"
"70","9.685683233","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"71","9.685703638","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1561 Ack=2653 Win=65535 Len=0"
"72","9.754269094","10.0.2.15","157.240.195.56","TLSv1.2","153","Application Data"
"73","9.754619175","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2653 Ack=1660 Win=65535 Len=0"
"74","9.763696751","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"75","9.764043813","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2653 Ack=1758 Win=65535 Len=0"
"76","9.819130709","157.240.195.56","10.0.2.15","TLSv1.2","153","Application Data"
"77","9.819167356","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1758 Ack=2752 Win=65535 Len=0"
"78","10.012595817","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"79","10.012929227","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2752 Ack=1856 Win=65535 Len=0"
"80","10.171573050","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"81","10.171593100","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=1856 Ack=2852 Win=65535 Len=0"
"82","10.177073863","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"83","10.177401780","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2852 Ack=1954 Win=65535 Len=0"
"84","11.002283217","10.0.2.15","34.120.208.123","TLSv1.2","93","Application Data"
"85","11.002655130","34.120.208.123","10.0.2.15","TCP","60","443  >  46524 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"86","11.009703696","34.120.208.123","10.0.2.15","TLSv1.2","93","Application Data"
"87","11.009725938","10.0.2.15","34.120.208.123","TCP","54","46524  >  443 [ACK] Seq=40 Ack=40 Win=64028 Len=0"
"88","11.096913125","157.240.195.56","10.0.2.15","TLSv1.2","141","Application Data"
"89","11.134808530","10.0.2.15","157.240.195.56","TLSv1.2","125","Application Data"
"90","11.135164784","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2939 Ack=2025 Win=65535 Len=0"
"91","14.442201909","10.0.2.15","157.240.195.56","TLSv1.2","124","Application Data"
"92","14.442591006","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=2939 Ack=2095 Win=65535 Len=0"
"93","14.584391392","157.240.195.56","10.0.2.15","TLSv1.2","126","Application Data"
"94","14.668626920","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=2095 Ack=3011 Win=65535 Len=0"
"95","17.904770599","157.240.195.56","10.0.2.15","TLSv1.2","345","Application Data"
"96","17.904800462","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=2095 Ack=3302 Win=65535 Len=0"
"97","18.134456370","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"98","18.134476703","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=2095 Ack=3402 Win=65535 Len=0"
"99","18.236728398","10.0.2.15","157.240.195.56","TLSv1.2","153","Application Data"
"100","18.237100599","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=3402 Ack=2194 Win=65535 Len=0"
"101","18.280781817","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"102","18.281130160","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=3402 Ack=2292 Win=65535 Len=0"
"103","18.332549805","157.240.195.56","10.0.2.15","TLSv1.2","153","Application Data"
"104","18.332571197","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=2292 Ack=3501 Win=65535 Len=0"
"105","18.525840826","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
"106","18.526198029","157.240.195.56","10.0.2.15","TCP","60","443  >  57478 [ACK] Seq=3501 Ack=2390 Win=65535 Len=0"
"107","18.703956345","157.240.195.56","10.0.2.15","TLSv1.2","154","Application Data"
"108","18.703977494","10.0.2.15","157.240.195.56","TCP","54","57478  >  443 [ACK] Seq=2390 Ack=3601 Win=65535 Len=0"
"109","18.709005203","10.0.2.15","157.240.195.56","TLSv1.2","152","Application Data"
