"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","157.240.214.60","TLSv1.2","413","Application Data"
"2","0.000815325","157.240.214.60","10.0.2.15","TCP","60","443  >  35260 [ACK] Seq=1 Ack=360 Win=65535 Len=0"
"3","0.076831206","157.240.214.60","10.0.2.15","TCP","1446","443  >  35260 [PSH, ACK] Seq=1 Ack=360 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"4","0.077250863","157.240.214.60","10.0.2.15","TLSv1.2","27894","Application Data, Application Data, Application Data"
"5","0.077821285","157.240.214.60","10.0.2.15","TLSv1.2","17685","Application Data, Application Data"
"6","0.078524319","10.0.2.15","157.240.214.60","TCP","54","35260  >  443 [ACK] Seq=360 Ack=46864 Win=65535 Len=0"
"7","3.435387703","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"8","3.436670413","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=1 Ack=71 Win=65535 Len=0"
"9","4.648561623","10.0.2.15","157.240.214.60","TLSv1.2","269","Application Data"
"10","4.649164072","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=1 Ack=286 Win=65535 Len=0"
"11","4.808729730","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"12","4.810490462","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=1 Ack=356 Win=65535 Len=0"
"13","4.860666383","157.240.214.60","10.0.2.15","TLSv1.2","165","Application Data"
"14","4.860689844","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=356 Ack=112 Win=65535 Len=0"
"15","5.274761969","157.240.214.60","10.0.2.15","TLSv1.2","150","Application Data"
"16","5.274786899","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=356 Ack=208 Win=65535 Len=0"
"17","5.291751665","10.0.2.15","157.240.214.60","TLSv1.2","149","Application Data"
"18","5.292420832","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=208 Ack=451 Win=65535 Len=0"
"19","5.459908392","157.240.214.60","10.0.2.15","TLSv1.2","151","Application Data"
"20","5.465250186","10.0.2.15","157.240.214.60","TLSv1.2","150","Application Data"
"21","5.466082519","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=305 Ack=547 Win=65535 Len=0"
