"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.0.2.15","TLSv1.2","310","Application Data"
"2","0.000028780","10.0.2.15","157.240.196.60","TCP","54","40810  >  443 [ACK] Seq=1 Ack=257 Win=65535 Len=0"
"3","0.383492810","10.0.2.15","157.240.196.60","TLSv1.2","150","Application Data"
"4","0.383946789","157.240.196.60","10.0.2.15","TCP","60","443  >  40810 [ACK] Seq=257 Ack=97 Win=65535 Len=0"
"5","0.524647475","157.240.196.60","10.0.2.15","TLSv1.2","166","Application Data"
"6","0.524675332","10.0.2.15","157.240.196.60","TCP","54","40810  >  443 [ACK] Seq=97 Ack=369 Win=65535 Len=0"
"7","0.632557455","10.0.2.15","157.240.196.60","TLSv1.2","154","Application Data"
"8","0.634436981","157.240.196.60","10.0.2.15","TCP","60","443  >  40810 [ACK] Seq=369 Ack=197 Win=65535 Len=0"
"9","0.965864095","157.240.196.60","10.0.2.15","TLSv1.2","131","Application Data"
"10","0.965918734","10.0.2.15","157.240.196.60","TCP","54","40810  >  443 [ACK] Seq=197 Ack=446 Win=65535 Len=0"
"11","3.164232831","157.240.196.60","10.0.2.15","TLSv1.2","311","Application Data"
"12","3.164279428","10.0.2.15","157.240.196.60","TCP","54","40810  >  443 [ACK] Seq=197 Ack=703 Win=65535 Len=0"
"13","3.341730417","10.0.2.15","157.240.196.60","TLSv1.2","153","Application Data"
"14","3.342374571","157.240.196.60","10.0.2.15","TCP","60","443  >  40810 [ACK] Seq=703 Ack=296 Win=65535 Len=0"
"15","4.828283264","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"16","4.828866777","157.240.196.60","10.0.2.15","TCP","60","443  >  40810 [ACK] Seq=703 Ack=365 Win=65535 Len=0"
"17","5.157353604","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"18","5.157456398","10.0.2.15","157.240.196.60","TCP","54","40810  >  443 [ACK] Seq=365 Ack=774 Win=65535 Len=0"
"19","5.221575898","10.0.2.15","142.251.142.214","TCP","54","44242  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"20","5.223346047","142.251.142.214","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  44242 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"21","6.661295089","157.240.196.60","10.0.2.15","TLSv1.2","443","Application Data, Application Data"
"22","6.661331411","10.0.2.15","157.240.196.60","TCP","54","40810  >  443 [ACK] Seq=365 Ack=1163 Win=65535 Len=0"
