"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.214.60","10.0.2.15","TLSv1.2","134","Application Data"
"2","0.000034864","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=1 Ack=81 Win=65535 Len=0"
"3","1.047416260","10.0.2.15","157.240.214.60","TLSv1.2","122","Application Data"
"4","1.047918382","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=81 Ack=69 Win=65535 Len=0"
"5","2.096666992","10.0.2.15","157.240.214.60","TLSv1.2","122","Application Data"
"6","2.097169286","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=81 Ack=137 Win=65535 Len=0"
"7","2.120103604","10.0.2.15","157.240.214.60","TLSv1.2","160","Application Data"
"8","2.120688684","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=81 Ack=243 Win=65535 Len=0"
"9","2.282132251","157.240.214.60","10.0.2.15","TLSv1.2","112","Application Data"
"10","2.282152890","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=243 Ack=139 Win=65535 Len=0"
"11","5.574523781","10.0.2.15","157.240.214.60","TLSv1.2","144","Application Data"
"12","5.574998714","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=333 Win=65535 Len=0"
"13","5.576230637","10.0.2.15","157.240.214.60","TLSv1.2","144","Application Data"
"14","5.576567983","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=423 Win=65535 Len=0"
"15","5.577259341","10.0.2.15","157.240.214.60","TLSv1.2","147","Application Data"
"16","5.577579456","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=516 Win=65535 Len=0"
"17","5.578211967","10.0.2.15","157.240.214.60","TLSv1.2","147","Application Data"
"18","5.578874578","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=609 Win=65535 Len=0"
"19","5.579198420","10.0.2.15","157.240.214.60","TLSv1.2","144","Application Data"
"20","5.579863822","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=699 Win=65535 Len=0"
"21","5.581060554","10.0.2.15","157.240.214.60","TLSv1.2","144","Application Data"
"22","5.581778040","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=789 Win=65535 Len=0"
"23","5.581988637","10.0.2.15","157.240.214.60","TLSv1.2","144","Application Data"
"24","5.582274625","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=879 Win=65535 Len=0"
"25","5.582760858","10.0.2.15","157.240.214.60","TLSv1.2","144","Application Data"
"26","5.583022355","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=139 Ack=969 Win=65535 Len=0"
"27","5.836509397","157.240.214.60","10.0.2.15","TLSv1.2","2850","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"28","5.836535146","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=969 Ack=2935 Win=65535 Len=0"
"29","5.855427611","157.240.214.60","10.0.2.15","TLSv1.2","499","Application Data"
"30","5.855475008","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=969 Ack=3380 Win=65535 Len=0"
"31","5.856708019","157.240.214.60","10.0.2.15","TLSv1.2","537","Application Data"
"32","5.856736300","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=969 Ack=3863 Win=65535 Len=0"
"33","5.954093643","10.0.2.15","157.240.0.60","UDP","238","40775  >  443 Len=196"
"34","5.955014878","10.0.2.15","157.240.0.60","UDP","234","40775  >  443 Len=192"
"35","5.962062524","10.0.2.15","157.240.0.60","UDP","234","40775  >  443 Len=192"
"36","5.963027151","10.0.2.15","157.240.0.60","UDP","238","40775  >  443 Len=196"
"37","6.045389239","157.240.0.60","10.0.2.15","UDP","90","443  >  40775 Len=48"
"38","6.045389596","157.240.0.60","10.0.2.15","UDP","1274","443  >  40775 Len=1232"
"39","6.045389625","157.240.0.60","10.0.2.15","UDP","794","443  >  40775 Len=752"
"40","6.045389663","157.240.0.60","10.0.2.15","UDP","1274","443  >  40775 Len=1232"
"41","6.045389705","157.240.0.60","10.0.2.15","UDP","1274","443  >  40775 Len=1232"
"42","6.045389747","157.240.0.60","10.0.2.15","UDP","90","443  >  40775 Len=48"
"43","6.045389781","157.240.0.60","10.0.2.15","UDP","90","443  >  40775 Len=48"
"44","6.045389813","157.240.0.60","10.0.2.15","UDP","90","443  >  40775 Len=48"
"45","6.046628746","157.240.0.60","10.0.2.15","UDP","218","443  >  40775 Len=176"
"46","6.046629004","157.240.0.60","10.0.2.15","UDP","1274","443  >  40775 Len=1232"
"47","6.046629121","157.240.0.60","10.0.2.15","UDP","1274","443  >  40775 Len=1232"
