"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","74.125.133.188","TCP","54","40272  >  5228 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"2","0.000497527","74.125.133.188","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 5228  >  40272 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"3","0.757025904","10.0.2.15","157.240.214.60","TLSv1.2","122","Application Data"
"4","0.757539053","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=1 Ack=69 Win=65535 Len=0"
"5","1.022455084","157.240.214.60","10.0.2.15","TLSv1.2","112","Application Data"
"6","1.022579835","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=69 Ack=59 Win=65535 Len=0"
"7","3.541869244","10.0.2.15","157.240.214.60","TLSv1.2","237","Application Data"
"8","3.542266027","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=59 Ack=252 Win=65535 Len=0"
"9","3.600143203","10.0.2.15","213.57.22.5","DNS","100","Standard query 0xb872 A connectivity-check.ubuntu.com OPT"
"10","3.613294111","213.57.22.5","10.0.2.15","DNS","244","Standard query response 0xb872 A connectivity-check.ubuntu.com A 35.224.170.84 A 185.125.190.48 A 185.125.190.18 A 34.122.121.32 A 35.232.111.17 A 91.189.91.49 A 185.125.190.49 A 91.189.91.48 A 185.125.190.17 OPT"
"11","3.614307945","10.0.2.15","35.224.170.84","TCP","74","51802  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3686453900 TSecr=0 WS=128"
"12","3.772105239","157.240.214.60","10.0.2.15","TLSv1.2","149","Application Data"
"13","3.772206550","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=252 Ack=154 Win=65535 Len=0"
"14","3.790782245","35.224.170.84","10.0.2.15","TCP","60","80  >  51802 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"15","3.790884914","10.0.2.15","35.224.170.84","TCP","54","51802  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"16","3.791387030","10.0.2.15","35.224.170.84","HTTP","141","GET / HTTP/1.1 "
"17","3.792039926","35.224.170.84","10.0.2.15","TCP","60","80  >  51802 [ACK] Seq=1 Ack=88 Win=65535 Len=0"
"18","3.991856543","35.224.170.84","10.0.2.15","HTTP","202","HTTP/1.1 204 No Content "
"19","3.991904125","10.0.2.15","35.224.170.84","TCP","54","51802  >  80 [ACK] Seq=88 Ack=149 Win=64092 Len=0"
"20","3.991857366","35.224.170.84","10.0.2.15","TCP","60","80  >  51802 [FIN, ACK] Seq=149 Ack=88 Win=65535 Len=0"
"21","3.992355853","10.0.2.15","35.224.170.84","TCP","54","51802  >  80 [FIN, ACK] Seq=88 Ack=150 Win=64091 Len=0"
"22","3.992870644","35.224.170.84","10.0.2.15","TCP","60","80  >  51802 [ACK] Seq=150 Ack=89 Win=65535 Len=0"
"23","6.127310057","157.240.214.60","10.0.2.15","TLSv1.2","196","Application Data"
"24","6.127335714","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=252 Ack=296 Win=65535 Len=0"
"25","6.192515268","10.0.2.15","157.240.214.60","TLSv1.2","154","Application Data"
"26","6.194355702","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=296 Ack=352 Win=65535 Len=0"
"27","13.295675574","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"28","13.296564523","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=296 Ack=422 Win=65535 Len=0"
"29","15.029622164","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"30","15.030672910","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=296 Ack=492 Win=65535 Len=0"
"31","16.013996021","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"32","16.014803463","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=296 Ack=562 Win=65535 Len=0"
"33","18.018776769","10.0.2.15","157.240.214.60","TLSv1.2","1759","Application Data"
"34","18.020017704","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=296 Ack=2022 Win=65535 Len=0"
"35","18.020018010","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=296 Ack=2267 Win=65535 Len=0"
"36","18.431789889","157.240.214.60","10.0.2.15","TLSv1.2","165","Application Data"
"37","18.431898705","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=2267 Ack=407 Win=65535 Len=0"
"38","18.721622557","157.240.214.60","10.0.2.15","TLSv1.2","152","Application Data"
"39","18.721639560","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=2267 Ack=505 Win=65535 Len=0"
"40","18.726112678","10.0.2.15","157.240.214.60","TLSv1.2","150","Application Data"
"41","18.726536998","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=505 Ack=2363 Win=65535 Len=0"
"42","18.736663128","157.240.214.60","10.0.2.15","TLSv1.2","151","Application Data"
"43","18.740273048","10.0.2.15","157.240.214.60","TLSv1.2","150","Application Data"
"44","18.740874311","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=602 Ack=2459 Win=65535 Len=0"
"45","18.799453092","157.240.214.60","10.0.2.15","TLSv1.2","148","Application Data"
"46","18.802260111","10.0.2.15","157.240.214.60","TLSv1.2","147","Application Data"
"47","18.802938026","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=696 Ack=2552 Win=65535 Len=0"
"48","22.510367556","157.240.214.60","10.0.2.15","TLSv1.2","127","Application Data"
"49","22.554526127","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=2552 Ack=769 Win=65535 Len=0"
"50","23.391687543","10.0.2.15","157.240.214.60","TLSv1.2","124","Application Data"
"51","23.392310329","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=769 Ack=2622 Win=65535 Len=0"
"52","25.070726786","157.240.214.60","10.0.2.15","TLSv1.2","150","Application Data"
"53","25.070815663","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=2622 Ack=865 Win=65535 Len=0"
"54","25.082281285","10.0.2.15","157.240.214.60","TLSv1.2","149","Application Data"
"55","25.084326196","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=865 Ack=2717 Win=65535 Len=0"
"56","26.298805947","157.240.214.60","10.0.2.15","TLSv1.2","131","Application Data"
"57","26.316539858","10.0.2.15","157.240.214.60","TLSv1.2","285","Application Data"
"58","26.317165166","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=942 Ack=2948 Win=65535 Len=0"
"59","26.708532776","157.240.214.60","10.0.2.15","TLSv1.2","165","Application Data"
"60","26.752567453","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=2948 Ack=1053 Win=65535 Len=0"
"61","26.912533145","157.240.214.60","10.0.2.15","TLSv1.2","150","Application Data"
"62","26.912566376","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=2948 Ack=1149 Win=65535 Len=0"
"63","26.918207001","10.0.2.15","157.240.214.60","TLSv1.2","149","Application Data"
"64","26.918881738","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=1149 Ack=3043 Win=65535 Len=0"
"65","26.939919051","157.240.214.60","10.0.2.15","TLSv1.2","151","Application Data"
"66","26.957033855","10.0.2.15","157.240.214.60","TLSv1.2","150","Application Data"
"67","26.957600268","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=1246 Ack=3139 Win=65535 Len=0"
"68","27.937889541","157.240.214.60","10.0.2.15","TLSv1.2","112","Application Data"
"69","27.979982422","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=3139 Ack=1304 Win=65535 Len=0"
"70","30.804068693","157.240.214.60","10.0.2.15","TLSv1.2","326","Application Data"
"71","30.804095570","10.0.2.15","157.240.214.60","TCP","54","59460  >  443 [ACK] Seq=3139 Ack=1576 Win=65535 Len=0"
"72","30.989124577","10.0.2.15","157.240.214.60","TLSv1.2","150","Application Data"
"73","30.989898557","157.240.214.60","10.0.2.15","TCP","60","443  >  59460 [ACK] Seq=1576 Ack=3235 Win=65535 Len=0"
